,authorDisplayName,publishedAt,likeCount,viewerRating,totalReplyCount,authorChannelURL,comment
96,YourLocalCow,2019-04-08T00:55:50.000Z,1,none,0,http://www.youtube.com/channel/UCPb6pOgqpY3ye-z9595hDyA,how does she afford this?
97,Jafari Paterson,2019-04-07T14:20:51.000Z,0,none,1,http://www.youtube.com/channel/UCRPySU3YBeS4AAYhtAQJV8w,"How much money do you spend for the MacBook pro 15"" spacegray"
98,zaLinuxDev,2019-04-07T14:08:55.000Z,0,none,0,http://www.youtube.com/channel/UCabu7Xs3Lpjej8kCBIcnDdA,this was really badly planned hey...
99,Lrxy,2019-04-02T07:06:17.000Z,0,none,0,http://www.youtube.com/channel/UCB34Nj9HsENFWDvIqyDH0ZA,Is it just me or did you say that’s ok pig? 👌🐷
100,Heather Zakowski,2019-03-29T06:20:10.000Z,0,none,0,http://www.youtube.com/channel/UC_CpRzqplZtUfVlBYdgFh3g,I love everything apple
101,Heather Zakowski,2019-03-29T06:19:14.000Z,0,none,0,http://www.youtube.com/channel/UC_CpRzqplZtUfVlBYdgFh3g,I think it’s cute
102,Rex’s Animations,2019-03-28T08:31:48.000Z,0,none,0,http://www.youtube.com/channel/UCC8SW_slFPErdUfHhcl0fXw,Nope I have a hp laptop and I love my laptop
103,ALEX HELLER,2019-03-23T20:16:15.000Z,0,none,0,http://www.youtube.com/channel/UCE1wXhuvZTob_Nq7knGC9QQ,Does the real keyboard light up
104,zack MATTHEWS,2019-03-14T07:09:23.000Z,0,none,0,http://www.youtube.com/channel/UC_hvy8DPVrwEM14Jz8p_VIw,good
105,Jenson Evitt,2019-03-08T20:09:08.000Z,0,none,0,http://www.youtube.com/channel/UCdR1I5CvdhEvGfhUMAsvyHw,I like your laptop
106,Natalie,2019-02-24T17:33:48.000Z,0,none,0,http://www.youtube.com/channel/UCa3FeqhxlmulOMhyMcvVJOg,She’s actually kinda dumb lol
107,Kamari Dodson,2019-02-23T22:45:43.000Z,0,none,0,http://www.youtube.com/channel/UChhKFpnbdJtA5yNA3VocUHw,Do you love apple
108,Kamari Dodson,2019-02-23T22:38:53.000Z,0,none,0,http://www.youtube.com/channel/UChhKFpnbdJtA5yNA3VocUHw,Yes
109,Ivy and Evie,2019-02-22T20:00:20.000Z,0,none,0,http://www.youtube.com/channel/UC-5Bxfc_09-VLSZjP8CmgYg,Ijustine
